id,property_type,city,state,price,bedrooms,bathrooms,square_feet,sale_date,buyer_age,buyer_income,buyer_occupation,year_built,garage,lot_area
1001659,Condo,Toronto,ON,149190.0,4,1,3025,2023-09-13,30,100898,Engineer,1977,0,9678
1001660,House,Ottawa,BC,387795.0,3,1,1776,2021-03-09,26,50996,Manager,1985,0,3969
1001661,Condo,Montreal,ON,856782.0,4,1,3165,2019-06-19,58,69587,Manager,1968,0,5743
1001662,Apartment,Toronto,AB,890468.0,2,3,1844,2022-12-01,55,111085,Doctor,2017,1,9324
1001663,Condo,Calgary,ON,109794.0,4,2,2420,2020-03-29,64,99785,Teacher,2013,1,4146
1001664,Condo,Calgary,BC,851143.0,4,2,878,2019-10-17,28,94523,Doctor,1973,0,3079
1001665,Apartment,Ottawa,ON,145772.0,4,2,3581,2018-07-31,62,79811,Artist,1957,1,2624
1001666,Condo,Calgary,AB,639451.0,4,1,852,2019-08-20,28,93262,Artist,1981,0,2261
1001667,House,Montreal,BC,570330.0,4,1,2566,2021-05-28,54,122952,Artist,1980,0,5664
1001668,Apartment,Vancouver,ON,609500.0,1,1,3604,2019-04-09,28,119627,Engineer,1960,0,9475
1001669,Condo,Toronto,AB,515441.0,2,3,2840,2020-10-18,55,92193,Entrepreneur,1965,1,5319
1001670,House,Montreal,AB,190908.0,5,2,1743,2022-02-27,29,80224,Artist,2013,0,2119
1001671,House,Calgary,BC,236215.0,1,1,3242,2023-10-26,48,47815,Engineer,1983,0,7405
1001672,Condo,Vancouver,QC,703601.0,3,1,1038,2018-01-12,28,77129,Artist,2018,0,8805
1001673,House,Toronto,ON,968018.0,3,1,3818,2016-08-17,36,95614,Manager,1971,1,1492
1001674,Apartment,Toronto,AB,730352.0,3,2,3909,2022-04-04,51,94652,Doctor,1979,0,6524
1001675,Condo,Vancouver,AB,862727.0,1,3,1387,2015-09-29,35,107186,Entrepreneur,1975,0,8666
1001676,Condo,Ottawa,ON,167999.0,1,2,2901,2015-07-12,42,83905,Artist,1955,0,6123
1001677,Apartment,Vancouver,QC,988116.0,3,2,890,2023-10-01,46,53394,Manager,2012,0,7931
1001678,House,Montreal,AB,267267.0,5,2,1688,2021-01-09,35,129006,Doctor,2009,1,6509
1001679,Condo,Vancouver,BC,352796.0,2,3,3939,2020-03-17,47,60329,Artist,2001,0,8960
1001680,Apartment,Calgary,AB,867509.0,3,1,3573,2016-08-12,27,130043,Artist,1959,1,2137
1001681,Condo,Toronto,BC,773679.0,5,1,3643,2022-06-21,46,127891,Doctor,1959,0,2492
1001682,Condo,Ottawa,ON,369668.0,3,3,3640,2018-08-02,52,143917,Manager,2009,0,8534
1001683,Condo,Montreal,QC,838761.0,4,3,846,2021-10-03,33,101654,Artist,1996,1,4262
1001684,Apartment,Montreal,QC,303433.0,4,3,2569,2020-03-22,32,53266,Manager,2002,1,6468
1001685,Apartment,Ottawa,BC,416187.0,5,1,2156,2022-01-27,41,45853,Manager,1956,0,6791
1001686,House,Montreal,QC,658314.0,3,3,3233,2019-01-24,60,111937,Manager,1970,1,3247
1001687,Apartment,Ottawa,ON,839015.0,5,3,2970,2018-05-24,48,99791,Artist,1959,0,4236
1001688,Condo,Vancouver,ON,319098.0,1,1,1376,2018-02-06,62,130730,Manager,1971,0,1868
1001689,House,Montreal,AB,706564.0,5,2,946,2020-09-15,31,56750,Teacher,2020,1,2250
1001690,Condo,Calgary,ON,757769.0,3,3,2289,2022-04-09,44,138396,Engineer,1974,1,2940
1001691,Condo,Ottawa,BC,383946.0,4,3,1806,2024-08-19,35,104334,Entrepreneur,1971,1,4554
1001692,Condo,Ottawa,BC,903416.0,2,3,3881,2021-01-30,52,58918,Entrepreneur,2007,0,6670
1001693,House,Vancouver,BC,128649.0,5,2,2802,2023-04-15,47,121910,Teacher,2011,1,9358
1001694,Condo,Ottawa,ON,554874.0,5,2,1736,2024-07-04,61,118703,Manager,1972,0,8103
1001695,Apartment,Ottawa,BC,377058.0,4,3,2690,2017-11-03,63,97177,Manager,1961,0,7761
1001696,House,Toronto,ON,794113.0,5,1,3642,2022-01-31,52,112975,Doctor,1977,1,1153
1001697,Apartment,Ottawa,BC,675134.0,4,1,3214,2016-12-29,39,110793,Manager,1993,1,8509
1001698,House,Ottawa,AB,405250.0,3,3,3143,2016-07-20,58,63281,Entrepreneur,2013,0,7704
1001699,Apartment,Calgary,BC,923666.0,4,3,1671,2015-06-10,27,123302,Doctor,1961,1,5552
1001700,Apartment,Ottawa,ON,555663.0,1,1,2442,2019-04-28,35,126105,Manager,1979,0,7755
1001701,Apartment,Calgary,ON,476945.0,1,1,2081,2016-02-23,56,77513,Manager,1986,0,8813
1001702,Apartment,Calgary,BC,889148.0,1,3,3323,2020-08-26,50,135168,Entrepreneur,2001,1,3356
1001703,Condo,Toronto,AB,735165.0,3,2,2694,2024-12-30,44,55068,Manager,1995,0,3275
1001704,Apartment,Montreal,BC,424364.0,3,1,2977,2018-02-18,37,82747,Doctor,1968,0,5275
1001705,Apartment,Montreal,BC,226123.0,5,2,954,2023-05-22,28,63741,Manager,1968,1,9799
1001706,House,Vancouver,BC,458411.0,4,3,2031,2016-04-15,39,130756,Doctor,1984,0,6138
1001707,Condo,Vancouver,AB,708469.0,4,1,1019,2020-04-30,64,103441,Engineer,2002,1,7704
1001708,Apartment,Toronto,AB,424614.0,1,1,3206,2018-11-12,26,71439,Manager,1969,0,4276
1001709,House,Toronto,BC,802749.0,4,2,2712,2021-04-28,60,103734,Entrepreneur,1998,1,7926
1001710,Condo,Vancouver,AB,470847.0,4,2,3655,2020-09-28,36,111254,Engineer,1982,0,7168
1001711,House,Vancouver,QC,677509.0,2,2,2671,2017-08-13,57,64378,Doctor,1993,1,8131
1001712,Condo,Montreal,BC,824451.0,1,3,1262,2019-04-23,47,78832,Artist,2018,1,2259
1001713,Apartment,Toronto,AB,180944.0,4,1,1703,2015-05-11,34,59201,Manager,1957,0,8398
1001714,Condo,Vancouver,QC,981579.0,5,2,1097,2022-03-06,32,122380,Doctor,2010,0,8816
1001715,Apartment,Montreal,ON,634795.0,3,2,3274,2021-08-04,55,75801,Doctor,2013,0,8425
1001716,House,Vancouver,ON,623576.0,4,2,3512,2022-09-24,57,80491,Entrepreneur,2001,0,2477
1001717,Apartment,Calgary,ON,583581.0,3,2,1713,2015-07-12,55,97363,Entrepreneur,1987,1,2458
1001718,House,Toronto,ON,937286.0,1,3,1345,2022-07-01,51,69052,Doctor,1988,0,8652
1001719,Apartment,Calgary,QC,967269.0,5,3,2971,2023-01-06,50,145088,Teacher,1951,0,9375
1001720,Apartment,Ottawa,QC,717278.0,4,1,3657,2016-01-10,47,85041,Entrepreneur,1963,0,6916
1001721,House,Vancouver,ON,266310.0,2,2,1089,2021-01-05,61,149763,Manager,1981,1,4465
1001722,House,Ottawa,ON,288439.0,2,3,2865,2023-04-29,62,88281,Doctor,2015,0,2148
1001723,Apartment,Vancouver,AB,438551.0,1,3,3480,2018-06-14,59,114946,Entrepreneur,2020,1,2850
1001724,House,Toronto,ON,111715.0,2,1,2234,2019-07-25,42,101003,Entrepreneur,1953,1,9809
1001725,Apartment,Vancouver,ON,806215.0,3,1,2967,2019-01-31,62,93516,Manager,2014,1,2851
1001726,House,Ottawa,QC,664867.0,2,3,1432,2021-02-28,63,72627,Teacher,1978,1,8684
1001727,Apartment,Montreal,BC,605296.0,5,1,2861,2022-06-02,36,104126,Artist,1971,1,9326
1001728,House,Montreal,BC,868981.0,3,3,2165,2024-01-12,39,114295,Doctor,1996,1,2861
1001729,House,Ottawa,AB,898298.0,3,1,2854,2016-12-12,45,106998,Doctor,2017,1,5945
1001730,Condo,Calgary,AB,466744.0,5,1,2467,2021-01-03,62,133601,Engineer,2005,1,4112
1001731,House,Calgary,QC,542275.0,5,3,3582,2018-07-15,40,122481,Teacher,1994,1,1209
1001732,Apartment,Montreal,QC,558490.0,5,2,3520,2024-03-09,29,86965,Artist,1999,1,9428
1001733,Condo,Montreal,ON,200649.0,5,2,2049,2021-06-24,52,45459,Entrepreneur,2000,1,9426
1001734,House,Montreal,ON,437469.0,5,1,988,2024-06-19,54,138153,Teacher,1955,1,2414
1001735,Apartment,Vancouver,ON,440325.0,5,1,2468,2022-09-12,39,135741,Manager,1994,1,3574
1001736,Condo,Montreal,BC,463557.0,4,3,1571,2015-08-06,53,129778,Teacher,2022,1,4206
1001737,Apartment,Vancouver,ON,828249.0,4,2,2955,2019-03-15,45,131102,Teacher,1964,0,2890
1001738,Condo,Calgary,AB,675363.0,3,1,2579,2023-10-29,41,111946,Doctor,2004,1,8467
1001739,House,Montreal,ON,585585.0,1,3,1011,2020-03-12,41,126466,Teacher,1968,1,3473
1001740,Apartment,Montreal,BC,765742.0,2,1,2528,2017-09-20,37,70777,Engineer,1969,0,6336
1001741,Condo,Ottawa,AB,495482.0,3,1,1816,2021-05-19,57,122441,Entrepreneur,2001,1,1462
1001742,Condo,Montreal,ON,177026.0,4,3,1642,2022-12-04,57,99667,Doctor,1966,1,2179
1001743,Apartment,Montreal,QC,657514.0,5,3,927,2018-06-04,44,149933,Engineer,1993,1,5848
1001744,House,Calgary,QC,153283.0,5,2,2697,2024-03-06,31,55509,Teacher,2003,0,9159
1001745,Apartment,Calgary,QC,985959.0,1,2,2608,2017-01-16,26,77984,Entrepreneur,2021,1,3990
1001746,Condo,Calgary,AB,644731.0,1,1,3321,2015-05-29,26,141428,Artist,1985,0,9199
1001747,Apartment,Montreal,ON,563077.0,2,1,1100,2024-01-30,56,138399,Teacher,1950,0,2897
1001748,Apartment,Calgary,BC,126609.0,5,2,2890,2022-01-05,42,130488,Teacher,2015,1,5496
1001749,House,Ottawa,BC,580704.0,4,1,2576,2018-07-08,38,133823,Teacher,1988,1,2439
1001750,Condo,Calgary,AB,113060.0,2,1,1011,2018-09-11,31,129554,Engineer,1957,0,2522
1001751,House,Toronto,ON,388652.0,4,2,1501,2016-04-13,40,51495,Artist,1979,1,9722
1001752,Condo,Ottawa,QC,811787.0,2,1,3787,2019-05-26,58,70913,Manager,1970,0,5747
1001753,Apartment,Vancouver,ON,137700.0,5,1,909,2022-06-21,37,57196,Doctor,1951,1,3040
1001754,House,Ottawa,QC,603185.0,4,2,1902,2016-11-23,34,139101,Entrepreneur,2018,0,6661
1001755,House,Ottawa,ON,109888.0,3,2,1272,2015-09-21,50,91116,Teacher,1999,1,9118
1001756,Condo,Vancouver,BC,535393.0,2,1,2518,2016-02-12,34,97886,Doctor,1987,1,1247
1001757,Condo,Toronto,ON,501942.0,3,1,1007,2020-10-31,41,97750,Engineer,2010,0,7153
1001758,House,Calgary,AB,727202.0,2,2,1094,2015-06-05,38,107776,Doctor,1979,1,5359
1001759,Condo,Ottawa,AB,750397.0,2,3,3533,2017-12-05,46,74462,Artist,1964,0,6200
1001760,House,Montreal,QC,638046.0,4,1,3652,2020-07-25,47,66619,Engineer,1952,1,7389
1001761,Condo,Ottawa,QC,557438.0,4,2,2737,2024-12-25,32,107066,Entrepreneur,1959,0,9129
1001762,House,Montreal,ON,195176.0,1,3,2560,2019-01-01,64,58523,Artist,2011,1,4504
1001763,Apartment,Ottawa,ON,301033.0,2,1,2979,2023-04-23,46,85212,Engineer,1959,0,2244
1001764,Condo,Ottawa,ON,888637.0,3,3,3808,2017-05-17,44,84306,Artist,1999,1,8012
1001765,Apartment,Calgary,BC,956019.0,1,2,1399,2018-02-18,43,50046,Manager,2015,1,4537
1001766,Condo,Vancouver,ON,986005.0,2,3,3558,2016-01-07,60,132483,Teacher,1969,1,5436
1001767,Condo,Montreal,AB,204177.0,3,2,1578,2023-12-20,51,112877,Artist,1982,0,7850
1001768,House,Ottawa,AB,932365.0,1,3,1517,2018-07-09,35,55593,Engineer,1975,0,3215
1001769,Condo,Calgary,AB,274836.0,5,2,3602,2016-07-05,27,65893,Engineer,1997,0,4277
1001770,Condo,Ottawa,QC,106270.0,4,1,3816,2019-12-09,55,134432,Doctor,1968,0,7476
1001771,House,Montreal,QC,460497.0,5,2,3274,2015-06-10,46,80935,Doctor,2001,0,3741
1001772,Apartment,Vancouver,ON,933989.0,2,1,3984,2017-07-23,53,52160,Teacher,1980,0,3903
1001773,House,Calgary,BC,844357.0,3,1,2726,2023-11-18,33,143770,Manager,2022,0,9105
1001774,Condo,Toronto,ON,143423.0,3,2,827,2016-11-24,58,105540,Artist,2003,0,4188
1001775,Condo,Montreal,QC,662260.0,5,1,3691,2020-09-19,46,134007,Manager,1983,1,1949
1001776,Condo,Vancouver,ON,841017.0,4,1,1346,2017-02-10,58,71996,Artist,1983,0,7760
1001777,Condo,Montreal,ON,855234.0,3,3,3589,2016-02-22,42,101348,Entrepreneur,1963,0,4104
1001778,Apartment,Toronto,ON,616719.0,3,1,1815,2016-08-02,27,91513,Teacher,1993,1,5993
1001779,Apartment,Montreal,ON,522627.0,4,2,829,2020-12-05,27,120412,Teacher,1957,1,2887
1001780,Apartment,Ottawa,BC,748429.0,1,1,2353,2017-05-25,45,71342,Engineer,1952,1,2493
1001781,House,Vancouver,ON,573694.0,5,3,3463,2019-07-22,34,146791,Engineer,1995,0,5623
1001782,Condo,Vancouver,ON,803943.0,4,1,2431,2015-12-31,36,58978,Teacher,2006,0,3860
1001783,Apartment,Ottawa,ON,672371.0,3,2,1802,2016-09-06,35,127145,Engineer,1999,0,2870
1001784,House,Vancouver,ON,522994.0,5,3,3706,2021-06-29,60,142987,Doctor,1992,1,3551
1001785,House,Montreal,BC,265445.0,5,2,3210,2021-09-06,38,78735,Artist,2009,1,1631
1001786,Apartment,Toronto,ON,731746.0,1,2,1239,2018-08-06,57,126607,Entrepreneur,2022,1,5672
1001787,House,Calgary,QC,410622.0,5,3,3967,2023-12-12,43,57199,Artist,2008,1,5862
1001788,Apartment,Toronto,ON,889879.0,4,1,3487,2024-03-17,49,109735,Artist,1985,1,7297
1001789,Condo,Montreal,QC,608360.0,1,3,2600,2015-01-06,53,111723,Artist,2010,1,5753
1001790,House,Ottawa,ON,665021.0,5,3,2802,2015-10-30,42,99000,Doctor,1960,0,2603
1001791,Apartment,Vancouver,QC,285283.0,3,3,1431,2015-12-26,59,65846,Entrepreneur,1976,0,8638
1001792,House,Toronto,QC,416414.0,4,2,1204,2020-04-24,64,104617,Manager,1950,0,2915
1001793,Apartment,Vancouver,ON,137585.0,5,1,3268,2024-11-21,31,88989,Manager,2016,0,8305
1001794,Condo,Calgary,ON,431963.0,2,2,3817,2015-01-26,29,80663,Doctor,1957,1,5645
1001795,Apartment,Toronto,ON,706546.0,3,3,970,2015-02-04,47,43764,Manager,2008,1,8993
1001796,House,Vancouver,BC,304557.0,5,3,3998,2023-03-11,64,67236,Teacher,1982,0,5322
1001797,House,Montreal,QC,149125.0,2,2,3886,2016-11-27,44,97367,Artist,1996,0,9541
1001798,Apartment,Montreal,ON,679393.0,4,1,2829,2015-04-01,56,62544,Doctor,1990,0,9226
1001799,House,Vancouver,AB,638495.0,5,3,966,2015-10-18,32,61662,Manager,1999,0,1921
1001800,Condo,Toronto,ON,172940.0,2,1,2696,2019-05-14,28,119721,Manager,1955,0,2459
1001801,Apartment,Ottawa,ON,199402.0,4,2,2269,2016-04-20,55,81257,Teacher,1959,0,9778
1001802,House,Calgary,AB,131836.0,2,1,885,2023-12-09,48,85280,Teacher,1967,1,6273
1001803,House,Montreal,BC,177808.0,4,3,3122,2016-01-22,25,56879,Manager,1969,0,2447
1001804,Condo,Calgary,QC,109453.0,1,1,2130,2016-08-20,36,91592,Entrepreneur,2003,1,7820
1001805,Apartment,Calgary,ON,681679.0,4,3,866,2022-04-17,50,112663,Doctor,1993,0,1956
1001806,Apartment,Toronto,ON,591881.0,1,2,2965,2019-10-11,40,126448,Artist,1952,1,2100
1001807,Condo,Toronto,AB,400671.0,2,3,2531,2021-01-24,36,147198,Engineer,2011,0,8433
1001808,Apartment,Ottawa,ON,645115.0,4,2,2705,2015-04-12,60,120628,Engineer,1978,1,5025
1001809,Condo,Vancouver,AB,675764.0,4,3,3068,2022-07-16,42,138383,Manager,2008,0,9693
1001810,Apartment,Calgary,ON,980344.0,5,1,1084,2024-10-03,56,140031,Artist,2003,1,9780
1001811,House,Toronto,AB,725868.0,3,1,832,2018-02-14,57,62608,Artist,1999,1,2258
1001812,Apartment,Vancouver,AB,300998.0,3,1,1467,2022-10-15,47,93650,Engineer,2010,1,6790
1001813,House,Ottawa,BC,412894.0,4,1,2710,2022-06-11,44,92850,Doctor,1977,1,8720
1001814,Condo,Ottawa,ON,741121.0,3,2,2327,2019-04-28,62,80483,Engineer,1965,1,1000
1001815,Condo,Ottawa,ON,239942.0,1,2,940,2023-05-04,55,140029,Artist,1957,0,4047
1001816,House,Ottawa,QC,272972.0,1,2,1701,2017-12-12,46,90338,Doctor,2022,1,2241
1001817,Apartment,Ottawa,BC,386727.0,3,3,3064,2021-04-25,33,74999,Engineer,2019,0,9926
1001818,Condo,Montreal,AB,357851.0,3,1,3461,2017-10-08,47,101015,Manager,1989,0,7166
1001819,Apartment,Calgary,QC,326884.0,5,2,2559,2024-06-09,44,76979,Manager,2000,0,1323
1001820,Apartment,Toronto,BC,802566.0,1,3,3634,2023-11-11,62,139613,Artist,1968,1,4795
1001821,House,Calgary,ON,150711.0,1,3,1150,2024-11-09,51,60424,Teacher,1961,1,7035
1001822,Condo,Ottawa,BC,763262.0,1,3,3522,2023-03-29,59,45809,Engineer,1993,1,9903
1001823,Condo,Calgary,QC,469941.0,1,2,2077,2015-06-25,47,81826,Entrepreneur,2003,0,9207
1001824,Apartment,Montreal,QC,611078.0,2,2,1950,2021-01-11,31,97920,Engineer,1975,1,1335
1001825,Condo,Toronto,QC,261085.0,3,1,1797,2022-02-01,42,118561,Entrepreneur,1961,1,2711
1001826,House,Ottawa,ON,783619.0,3,1,1782,2024-05-29,35,68083,Doctor,1953,0,1514
1001827,House,Vancouver,QC,388019.0,4,1,3266,2023-10-27,30,143318,Engineer,1952,0,8343
1001828,Condo,Calgary,AB,415429.0,5,1,2436,2023-03-25,54,98227,Entrepreneur,1974,0,8635
1001829,House,Toronto,AB,128558.0,2,3,946,2023-05-14,32,65301,Artist,2010,1,6738
1001830,Condo,Montreal,ON,891296.0,2,1,1863,2019-01-18,26,142858,Doctor,2012,1,8323
1001831,House,Montreal,QC,435800.0,2,1,2437,2018-11-25,47,139656,Engineer,2010,0,4446
1001832,House,Vancouver,ON,917024.0,2,2,2086,2020-09-27,42,95324,Manager,1980,1,7683
1001833,House,Vancouver,QC,226723.0,5,2,1443,2019-02-24,32,106161,Entrepreneur,1979,1,7273
1001834,House,Vancouver,QC,248598.0,1,3,2388,2024-05-21,36,57091,Engineer,1972,0,4370
1001835,Apartment,Toronto,BC,712529.0,2,1,2440,2023-07-21,52,139114,Manager,2005,1,6319
1001836,House,Calgary,ON,256402.0,2,2,1604,2019-12-29,64,42426,Engineer,1972,1,9238
1001837,Apartment,Montreal,BC,461501.0,1,2,2220,2021-05-30,62,65005,Teacher,1960,1,3506
1001838,Apartment,Ottawa,QC,340774.0,5,3,3518,2020-07-01,41,71363,Artist,1978,0,8994
1001839,Apartment,Montreal,ON,669067.0,2,1,3786,2022-09-20,29,125311,Teacher,1955,1,6694
1001840,Condo,Vancouver,BC,486552.0,5,3,3770,2018-08-11,62,134376,Artist,1995,1,9553
1001841,Apartment,Calgary,AB,839866.0,4,2,2614,2021-03-20,57,87240,Entrepreneur,1968,0,4446
1001842,House,Ottawa,QC,179784.0,1,1,2142,2018-05-22,50,98409,Artist,1955,0,2756
1001843,House,Calgary,QC,696374.0,1,1,2306,2019-01-09,60,125874,Entrepreneur,1977,0,7956
1001844,Condo,Calgary,ON,244047.0,5,1,2429,2018-08-21,64,48191,Teacher,1997,0,2343
1001845,Condo,Calgary,QC,142397.0,3,2,1511,2021-01-24,34,63080,Manager,1967,0,1717
1001846,Apartment,Vancouver,QC,590173.0,3,1,3712,2015-01-01,49,113319,Entrepreneur,2021,1,5352
1001847,Condo,Ottawa,QC,475675.0,4,3,2502,2022-10-01,64,106284,Doctor,1952,1,8864
1001848,Condo,Vancouver,ON,212832.0,5,3,3757,2019-07-07,54,146123,Artist,1955,1,7963
1001849,House,Montreal,QC,178233.0,5,2,2060,2021-03-05,52,45149,Manager,1957,1,8833
1001850,Apartment,Vancouver,BC,343051.0,1,3,1573,2020-12-04,37,62653,Teacher,1981,1,4086
1001851,Apartment,Vancouver,ON,391246.0,3,1,2455,2021-06-30,45,84741,Doctor,1979,1,7691
1001852,House,Vancouver,ON,973660.0,1,3,3866,2020-08-20,41,70012,Manager,2008,1,6234
1001853,Condo,Toronto,QC,145556.0,5,3,2438,2023-04-02,47,126534,Teacher,1975,0,7957
1001854,House,Calgary,QC,942834.0,3,1,3566,2016-09-14,34,69944,Artist,1968,0,6438
1001855,Condo,Calgary,ON,669224.0,4,1,3738,2024-10-28,36,99849,Artist,1977,1,4197
1001856,Condo,Toronto,QC,467507.0,4,3,2693,2021-07-29,52,74996,Engineer,2000,0,3816
1001857,Condo,Ottawa,ON,794345.0,5,2,1555,2020-10-05,62,101604,Artist,1979,1,8456
1001858,Condo,Ottawa,ON,732987.0,4,2,1287,2021-02-01,25,111014,Doctor,2010,1,5711
1001859,Condo,Toronto,AB,821079.0,5,1,1183,2022-11-05,46,52582,Teacher,2005,0,7925
1001860,House,Montreal,AB,405916.0,3,2,2692,2019-08-08,36,149816,Teacher,2005,0,3752
1001861,Condo,Montreal,QC,634102.0,2,1,1625,2019-05-31,56,73242,Artist,1999,1,5307
1001862,House,Montreal,BC,399025.0,3,1,1143,2024-12-07,51,51797,Engineer,1998,1,3053
1001863,House,Montreal,ON,636520.0,4,3,2694,2018-05-30,37,63632,Doctor,1954,0,6052
1001864,Apartment,Vancouver,ON,976626.0,4,2,1644,2020-08-26,31,102287,Teacher,1965,0,3721
1001865,Apartment,Toronto,ON,185657.0,5,1,3103,2016-03-24,36,94260,Doctor,1985,1,2764
1001866,House,Toronto,ON,307776.0,3,3,2290,2023-10-31,49,145988,Doctor,2009,1,2480
1001867,Condo,Ottawa,ON,343772.0,4,1,2320,2017-12-16,27,76956,Doctor,2017,1,7397
1001868,Apartment,Toronto,BC,594954.0,2,2,2835,2016-06-12,42,126976,Teacher,1961,1,9223
1001869,House,Ottawa,BC,655572.0,1,1,2120,2017-10-23,35,104686,Artist,1965,0,5070
1001870,Condo,Montreal,QC,607624.0,5,2,2689,2020-01-03,38,60159,Doctor,1972,1,4428
1001871,Apartment,Calgary,ON,881892.0,4,3,1911,2022-11-26,40,88336,Doctor,2021,0,1662
1001872,Apartment,Toronto,AB,712421.0,5,3,2798,2019-08-23,25,138160,Teacher,1995,1,5723
1001873,House,Montreal,ON,126563.0,1,3,3552,2020-07-05,30,98982,Entrepreneur,1987,0,4031
1001874,Condo,Calgary,QC,614124.0,1,3,2758,2021-07-04,40,117260,Manager,1975,1,3658
1001875,Condo,Calgary,BC,601531.0,2,1,1354,2015-05-27,35,118863,Doctor,1977,0,6833
1001876,House,Calgary,AB,643942.0,2,2,2711,2020-10-12,26,138394,Teacher,1984,1,2633
1001877,House,Calgary,ON,165463.0,4,2,1745,2019-12-18,25,81788,Doctor,1994,1,3989
1001878,Apartment,Calgary,ON,912995.0,3,1,3830,2020-10-20,35,72546,Engineer,1986,1,1562
1001879,House,Vancouver,ON,219172.0,1,2,2138,2018-09-20,38,100237,Entrepreneur,1992,1,1076
1001880,Condo,Calgary,ON,986060.0,4,3,2005,2022-12-17,26,55428,Doctor,2011,0,6678
1001881,House,Vancouver,QC,880043.0,1,1,1396,2015-08-23,50,141895,Teacher,2007,1,2355
1001882,House,Vancouver,ON,701104.0,5,1,1201,2018-05-13,33,70857,Doctor,1967,1,1384
1001883,Apartment,Montreal,BC,502791.0,4,3,2124,2020-07-26,35,146308,Entrepreneur,2012,0,2504
1001884,Condo,Ottawa,ON,843984.0,5,2,1072,2015-06-28,55,93721,Engineer,1977,1,8190
1001885,Condo,Montreal,QC,299077.0,4,1,1667,2020-01-08,48,82052,Doctor,1954,0,3132
1001886,House,Vancouver,BC,466900.0,3,2,3362,2018-12-24,44,140535,Engineer,2015,0,6575
1001887,Condo,Vancouver,BC,440378.0,1,2,1524,2017-09-17,64,45760,Doctor,2012,1,4585
1001888,Condo,Toronto,ON,923729.0,5,1,1138,2015-10-21,50,140589,Doctor,1957,0,2055
1001889,Apartment,Montreal,QC,176516.0,4,1,3621,2017-01-24,25,122625,Doctor,2004,0,1677
1001890,House,Toronto,ON,390123.0,3,2,2812,2024-11-06,45,120826,Entrepreneur,1952,0,6739
1001891,Apartment,Calgary,ON,459378.0,3,1,1318,2018-08-09,63,142712,Engineer,1981,1,9892
1001892,Apartment,Calgary,AB,458066.0,5,2,2256,2019-10-09,31,109340,Doctor,2021,1,8058
1001893,House,Vancouver,AB,253637.0,2,1,3376,2019-06-17,63,110635,Engineer,1991,0,6061
1001894,Condo,Montreal,AB,680310.0,2,1,2164,2015-01-06,50,144001,Artist,1951,1,8896
1001895,Condo,Toronto,QC,722218.0,5,2,2363,2015-12-29,45,137847,Entrepreneur,2015,0,2044
1001896,House,Vancouver,ON,899757.0,3,1,3531,2024-12-17,42,124536,Doctor,2013,0,7188
1001897,House,Vancouver,QC,437048.0,5,1,1188,2016-02-11,54,94891,Manager,1963,1,2136
1001898,Apartment,Toronto,QC,313507.0,1,3,1780,2020-11-12,45,77612,Entrepreneur,2017,1,2408
1001899,House,Vancouver,ON,114116.0,5,1,3709,2023-05-11,53,119100,Artist,1976,0,5153
1001900,Apartment,Montreal,BC,981914.0,3,2,3232,2016-07-24,63,85205,Engineer,1961,0,3497
1001901,Condo,Montreal,QC,587033.0,2,2,1184,2022-06-07,34,129176,Doctor,2014,0,5889
1001902,House,Toronto,QC,894897.0,2,2,904,2022-02-24,34,106534,Teacher,1989,1,6003
1001903,Condo,Calgary,QC,941738.0,2,3,1382,2019-04-13,53,147585,Engineer,2019,1,1219
1001904,Apartment,Montreal,AB,206399.0,1,2,3513,2020-11-24,60,104451,Entrepreneur,1956,1,5195
1001905,Condo,Vancouver,BC,885462.0,1,3,2830,2015-07-16,41,75183,Teacher,1989,1,6564
1001906,Apartment,Montreal,ON,937321.0,4,1,3987,2022-12-20,42,82150,Entrepreneur,1968,0,7625
1001907,House,Montreal,ON,624688.0,4,3,1226,2023-04-02,40,73280,Artist,2006,0,8935
1001908,Apartment,Calgary,QC,428461.0,5,2,3968,2021-02-20,30,133920,Entrepreneur,1951,0,2861
1001909,House,Vancouver,QC,675952.0,2,3,1148,2015-02-09,58,103182,Artist,2008,0,8500
1001910,Apartment,Calgary,ON,217955.0,5,3,1951,2018-09-18,31,70657,Teacher,1989,0,1520
1001911,Apartment,Montreal,ON,334107.0,2,1,1052,2021-05-27,45,83181,Artist,1960,1,8139
1001912,House,Montreal,ON,219616.0,2,1,3106,2024-07-01,34,79511,Artist,2019,1,5693
1001913,House,Vancouver,BC,345674.0,2,2,1376,2020-07-19,26,58420,Manager,2016,1,8567
1001914,House,Ottawa,AB,366995.0,3,2,834,2018-02-24,26,74703,Engineer,2005,0,3700
1001915,Condo,Vancouver,ON,578381.0,1,3,3472,2016-07-14,38,123874,Doctor,1953,1,2142
1001916,Condo,Montreal,AB,868483.0,1,2,1406,2024-02-17,33,66580,Manager,2010,1,9037
1001917,Apartment,Vancouver,AB,305034.0,4,3,2169,2022-01-11,40,95202,Engineer,1955,1,9853
1001918,Condo,Ottawa,QC,870555.0,3,3,1888,2017-11-11,56,105839,Artist,1998,1,9634
1001919,Apartment,Ottawa,ON,295868.0,5,1,2732,2024-11-07,33,43587,Engineer,1965,1,3450
1001920,Apartment,Toronto,QC,247380.0,3,1,3975,2016-08-28,31,100412,Engineer,1997,0,3974
